time_iso8601,forks_cumulative
2022-09-19 00:00:00+00:00,1
2022-10-03 00:00:00+00:00,2
2022-10-12 00:00:00+00:00,4
2022-10-13 00:00:00+00:00,5
2022-10-18 00:00:00+00:00,6
2022-10-21 00:00:00+00:00,7
2022-10-27 00:00:00+00:00,8
2022-11-02 00:00:00+00:00,9
2022-11-13 00:00:00+00:00,10
2022-11-14 00:00:00+00:00,11
2022-11-15 00:00:00+00:00,12
2022-11-19 00:00:00+00:00,13
2022-11-21 00:00:00+00:00,14
2022-12-02 00:00:00+00:00,15
2022-12-20 00:00:00+00:00,16
2023-01-05 00:00:00+00:00,17
2023-01-19 00:00:00+00:00,18
2023-01-23 00:00:00+00:00,19
2023-01-25 00:00:00+00:00,20
2023-01-26 00:00:00+00:00,21
2023-01-28 00:00:00+00:00,23
2023-02-01 00:00:00+00:00,24
2023-02-03 00:00:00+00:00,25
2023-02-07 00:00:00+00:00,26
2023-02-16 00:00:00+00:00,27
2023-02-17 00:00:00+00:00,28
2023-02-24 00:00:00+00:00,29
2023-03-04 00:00:00+00:00,30
2023-03-08 00:00:00+00:00,31
2023-03-09 00:00:00+00:00,32
2023-03-11 00:00:00+00:00,34
2023-03-16 00:00:00+00:00,35
2023-03-22 00:00:00+00:00,36
2023-04-02 00:00:00+00:00,37
2023-04-03 00:00:00+00:00,38
2023-04-06 00:00:00+00:00,39
2023-04-11 00:00:00+00:00,40
2023-04-21 00:00:00+00:00,42
2023-04-28 00:00:00+00:00,43
2023-04-30 00:00:00+00:00,44
2023-05-02 00:00:00+00:00,45
2023-05-18 00:00:00+00:00,46
2023-05-22 00:00:00+00:00,47
2023-05-30 00:00:00+00:00,49
2023-06-02 00:00:00+00:00,50
2023-06-04 00:00:00+00:00,51
2023-06-07 00:00:00+00:00,52
2023-06-14 00:00:00+00:00,53
2023-06-16 00:00:00+00:00,54
2023-06-27 00:00:00+00:00,55
2023-07-04 00:00:00+00:00,56
2023-07-07 00:00:00+00:00,57
2023-07-13 00:00:00+00:00,58
2023-07-18 00:00:00+00:00,59
2023-07-20 00:00:00+00:00,60
2023-07-28 00:00:00+00:00,61
2023-08-10 00:00:00+00:00,63
2023-08-16 00:00:00+00:00,64
2023-09-13 00:00:00+00:00,65
2023-09-18 00:00:00+00:00,66
2023-09-22 00:00:00+00:00,67
2023-10-04 00:00:00+00:00,68
2023-10-14 00:00:00+00:00,69
2023-10-18 00:00:00+00:00,70
2023-10-23 00:00:00+00:00,71
2023-11-06 00:00:00+00:00,72
2023-11-09 00:00:00+00:00,73
2023-11-16 00:00:00+00:00,74
2023-11-17 00:00:00+00:00,75
2023-11-19 00:00:00+00:00,76
2023-11-21 00:00:00+00:00,77
2023-11-23 00:00:00+00:00,78
2023-12-24 00:00:00+00:00,79
2023-12-26 00:00:00+00:00,80
2024-01-02 00:00:00+00:00,84
2024-01-03 00:00:00+00:00,85
2024-01-09 00:00:00+00:00,86
2024-01-10 00:00:00+00:00,87
2024-01-17 00:00:00+00:00,88
2024-01-25 00:00:00+00:00,89
2024-01-27 00:00:00+00:00,91
2024-01-31 00:00:00+00:00,92
2024-02-01 00:00:00+00:00,93
2024-02-05 00:00:00+00:00,94
2024-02-09 00:00:00+00:00,95
2024-02-20 00:00:00+00:00,96
2024-03-01 00:00:00+00:00,97
2024-03-07 00:00:00+00:00,98
2024-03-13 00:00:00+00:00,99
2024-03-19 00:00:00+00:00,100
2024-03-25 00:00:00+00:00,101
2024-03-28 00:00:00+00:00,102
2024-03-31 00:00:00+00:00,103
