url_path,views_total,views_unique
/keptn/lifecycle-toolkit,302,167
/keptn/lifecycle-toolkit/issues,64,20
/keptn/lifecycle-toolkit/pull/3581,52,18
/keptn/lifecycle-toolkit/tree/main/examples,43,9
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,42,11
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,36,8
/keptn/lifecycle-toolkit/tree/main/examples/support,34,4
/keptn/lifecycle-toolkit/tree/main/examples/sample-app/base,30,5
/keptn/lifecycle-toolkit/pulls,27,9
/keptn/lifecycle-toolkit/blob/main/examples/Makefile,20,2
