time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-29 00:00:00+00:00,68,39,18,13
2025-08-30 00:00:00+00:00,178,55,7,5
2025-08-31 00:00:00+00:00,96,49,39,5
2025-09-01 00:00:00+00:00,263,101,29,11
2025-09-02 00:00:00+00:00,148,83,38,17
2025-09-03 00:00:00+00:00,176,74,33,16
2025-09-04 00:00:00+00:00,158,66,30,18
2025-09-05 00:00:00+00:00,321,145,29,9
2025-09-06 00:00:00+00:00,289,106,5,5
2025-09-07 00:00:00+00:00,486,128,2,2
2025-09-08 00:00:00+00:00,238,114,33,14
2025-09-09 00:00:00+00:00,160,94,69,17
2025-09-10 00:00:00+00:00,297,119,25,11
2025-09-11 00:00:00+00:00,146,78,14,11
